match_id,home_team_id,away_team_id,home_goals,away_goals,match_date
m001,t07,t07,3,3,2024-04-24
m002,t03,t07,2,3,2024-01-08
m003,t07,t05,4,1,2024-04-13
m004,t02,t01,2,0,2024-05-08
m005,t05,t06,3,2,2024-06-19
m006,t03,t06,3,1,2024-01-28
m007,t03,t01,0,3,2024-02-18
m008,t01,t03,4,2,2024-06-17
m009,t02,t05,3,0,2024-06-21
m010,t01,t03,3,2,2024-03-29
m011,t08,t02,2,1,2024-04-16
m012,t03,t08,1,1,2024-04-15
m013,t06,t04,4,1,2024-05-21
m014,t07,t07,1,0,2024-06-14
m015,t02,t05,2,3,2024-01-11
m016,t08,t05,4,1,2024-03-30
m017,t07,t06,0,2,2024-02-04
m018,t05,t07,1,1,2024-02-13
m019,t04,t03,4,3,2024-03-01
m020,t07,t03,4,0,2024-05-31
m021,t04,t01,1,2,2024-04-16
m022,t01,t08,1,0,2024-04-18
m023,t02,t04,2,1,2024-06-21
m024,t02,t06,0,0,2024-02-29
m025,t07,t05,4,1,2024-03-31
m026,t08,t05,2,1,2024-06-05
m027,t02,t03,0,1,2024-02-19
m028,t05,t06,4,1,2024-06-23
m029,t02,t04,4,3,2024-02-13
m030,t02,t05,4,0,2024-03-19
m031,t03,t05,4,3,2024-01-14
m032,t07,t05,2,0,2024-04-22
m033,t08,t02,3,0,2024-01-29
m034,t05,t03,2,1,2024-06-04
m035,t02,t01,4,3,2024-04-04
m036,t03,t01,3,1,2024-03-15
m037,t04,t01,4,3,2024-04-22
m038,t08,t04,0,0,2024-05-30
m039,t08,t06,4,2,2024-05-03
m040,t01,t08,2,1,2024-01-15
m041,t04,t01,2,1,2024-02-21
m042,t06,t02,4,3,2024-06-24
m043,t08,t04,4,3,2024-06-01
m044,t08,t02,0,3,2024-06-17
m045,t05,t07,3,3,2024-06-08
m046,t07,t01,4,0,2024-01-30
m047,t07,t06,0,3,2024-03-20
m048,t05,t01,0,2,2024-02-12
m049,t05,t01,3,1,2024-03-08
m050,t06,t04,4,1,2024-05-04
m051,t03,t08,4,3,2024-05-16
m052,t07,t07,0,2,2024-06-09
m053,t04,t08,3,2,2024-06-04
m054,t06,t07,3,1,2024-06-21
m055,t05,t07,2,2,2024-04-28
m056,t04,t06,4,1,2024-01-15
m057,t02,t07,3,3,2024-03-05
m058,t01,t03,0,1,2024-03-30
m059,t04,t02,4,3,2024-04-26
m060,t05,t01,3,2,2024-06-26
